time,demand
04-01-2019 11,2201.79
04-01-2019 12,2480.00
04-01-2019 13,2371.33
04-01-2019 14,2276.25
04-01-2019 15,2229.83
04-01-2019 16,2263.65
04-01-2019 17,2415.02
04-01-2019 18,2770.00
04-01-2019 19,2682.92
04-01-2019 20,2562.79
04-01-2019 21,2501.22
04-01-2019 22,2468.20
04-01-2019 23,2373.53
04-01-2019 00,2215.94
05-01-2019 01,1999.15
05-01-2019 02,1790.03
05-01-2019 03,1641.43
05-01-2019 04,1510.00
05-01-2019 05,1559.92
05-01-2019 06,1703.96
05-01-2019 07,1773.15
05-01-2019 08,1855.68
05-01-2019 09,2013.49
05-01-2019 10,2187.71
05-01-2019 11,2350.16
05-01-2019 12,2485.84
05-01-2019 13,2554.03
05-01-2019 14,2650.00
05-01-2019 15,2663.49
05-01-2019 16,2688.41
05-01-2019 17,2810.63
05-01-2019 18,3090.00
05-01-2019 19,2981.11
05-01-2019 20,2863.32
05-01-2019 21,2786.97
05-01-2019 22,2686.02
05-01-2019 23,2537.42
05-01-2019 00,2296.29
06-01-2019 01,2026.98
06-01-2019 02,1814.42
06-01-2019 03,1672.90
06-01-2019 04,1570.00
06-01-2019 05,1645.02
06-01-2019 06,1871.89
06-01-2019 07,2071.30
06-01-2019 08,2236.67
06-01-2019 09,2356.97
06-01-2019 10,2488.09
06-01-2019 11,2640.51
06-01-2019 12,2709.27
06-01-2019 13,2811.91
06-01-2019 14,2850.00
06-01-2019 15,2926.03
06-01-2019 16,2996.12
06-01-2019 17,3089.36
06-01-2019 18,3260.00
06-01-2019 19,3067.76
06-01-2019 20,2943.11
06-01-2019 21,2863.76
06-01-2019 22,2763.94
06-01-2019 23,2570.40
06-01-2019 00,2332.18
07-01-2019 01,2065.12
07-01-2019 02,1857.92
07-01-2019 03,1735.88
07-01-2019 04,1625.00
07-01-2019 05,1699.83
07-01-2019 06,1915.04
07-01-2019 07,2104.81
07-01-2019 08,2248.97
07-01-2019 09,2388.62
07-01-2019 10,2515.75
07-01-2019 11,2657.87
07-01-2019 12,2840.00
07-01-2019 13,2827.16
07-01-2019 14,2823.74
07-01-2019 15,2897.21
07-01-2019 16,2924.84
07-01-2019 17,3007.84
07-01-2019 18,3260.00
07-01-2019 19,3113.77
07-01-2019 20,2965.09
07-01-2019 21,2895.40
07-01-2019 22,2805.11
07-01-2019 23,2613.60
07-01-2019 00,2361.37
08-01-2019 01,2099.29
08-01-2019 02,1869.34
08-01-2019 03,1745.55
08-01-2019 04,1640.00
08-01-2019 05,1703.46
08-01-2019 06,1922.43
08-01-2019 07,2102.99
08-01-2019 08,2243.67
08-01-2019 09,2405.95
08-01-2019 10,2532.35
08-01-2019 11,2692.39
08-01-2019 12,2848.21
08-01-2019 13,2975.04
08-01-2019 14,3080.00
08-01-2019 15,3121.06
08-01-2019 16,3084.88
08-01-2019 17,3131.56
08-01-2019 18,3330.00
08-01-2019 19,3146.54
08-01-2019 20,3014.74
08-01-2019 21,2935.15
08-01-2019 22,2823.40
08-01-2019 23,2658.71
08-01-2019 00,2403.94
09-01-2019 01,2140.92
09-01-2019 02,1932.48
09-01-2019 03,1788.60
09-01-2019 04,1670.00
09-01-2019 05,1740.11
09-01-2019 06,1912.99
09-01-2019 07,2020.00
09-01-2019 08,2193.63
09-01-2019 09,2477.93
09-01-2019 10,2648.80
09-01-2019 11,2859.71
09-01-2019 12,3106.86
09-01-2019 13,3250.00
09-01-2019 14,3185.15
09-01-2019 15,3242.81
09-01-2019 16,3243.39
09-01-2019 17,3270.96
09-01-2019 18,3380.00
09-01-2019 19,3203.68
09-01-2019 20,3052.61
09-01-2019 21,2964.16
09-01-2019 22,2845.05
09-01-2019 23,2672.67
09-01-2019 00,2465.96
10-01-2019 01,2181.61
10-01-2019 02,1951.69
10-01-2019 03,1775.97
10-01-2019 04,1630.00
10-01-2019 05,1699.65
10-01-2019 06,1892.33
10-01-2019 07,2047.50
10-01-2019 08,2227.56
10-01-2019 09,2405.88
10-01-2019 10,2525.55
10-01-2019 11,2646.81
10-01-2019 12,2820.00
10-01-2019 13,2808.79
10-01-2019 14,2794.00
10-01-2019 15,2785.23
10-01-2019 16,2780.55
10-01-2019 17,2835.24
10-01-2019 18,3140.00
10-01-2019 19,3047.50
10-01-2019 20,2900.62
10-01-2019 21,2802.63
10-01-2019 22,2711.81
10-01-2019 23,2588.20
10-01-2019 00,2436.35
11-01-2019 01,2202.59
11-01-2019 02,1965.92
11-01-2019 03,1779.49
11-01-2019 04,1678.22
11-01-2019 05,1660.25
11-01-2019 06,1773.27
11-01-2019 07,1722.77
11-01-2019 08,1580.00
11-01-2019 09,1711.66
11-01-2019 10,1945.70
11-01-2019 11,2261.13
11-01-2019 12,2570.00
11-01-2019 13,2525.86
11-01-2019 14,2440.43
11-01-2019 15,2409.92
11-01-2019 16,2441.84
11-01-2019 17,2524.45
11-01-2019 18,2870.00
11-01-2019 19,2750.97
11-01-2019 20,2647.64
11-01-2019 21,2601.91
11-01-2019 22,2562.41
11-01-2019 23,2456.75
11-01-2019 00,2289.27
12-01-2019 01,2052.93
12-01-2019 02,1851.96
12-01-2019 03,1706.98
12-01-2019 04,1560.00
12-01-2019 05,1626.25
12-01-2019 06,1788.61
12-01-2019 07,1845.02
12-01-2019 08,1925.05
12-01-2019 09,2096.55
12-01-2019 10,2288.92
12-01-2019 11,2438.26
12-01-2019 12,2552.24
12-01-2019 13,2568.96
12-01-2019 14,2585.77
12-01-2019 15,2612.59
12-01-2019 16,2700.00
12-01-2019 17,2811.20
12-01-2019 18,3110.00
12-01-2019 19,3041.30
12-01-2019 20,2900.21
12-01-2019 21,2821.67
12-01-2019 22,2736.97
12-01-2019 23,2583.18
12-01-2019 00,2349.42
13-01-2019 01,2103.83
13-01-2019 02,1883.44
13-01-2019 03,1745.62
13-01-2019 04,1620.00
13-01-2019 05,1667.64
13-01-2019 06,1861.63
13-01-2019 07,1967.54
13-01-2019 08,2110.19
13-01-2019 09,2289.58
13-01-2019 10,2421.15
13-01-2019 11,2488.89
13-01-2019 12,2611.87
13-01-2019 13,2681.06
13-01-2019 14,2720.00
13-01-2019 15,2773.04
13-01-2019 16,2813.05
13-01-2019 17,2906.86
13-01-2019 18,3170.00
13-01-2019 19,3058.83
13-01-2019 20,2913.90
13-01-2019 21,2845.64
13-01-2019 22,2732.84
13-01-2019 23,2571.89
13-01-2019 00,2350.87
14-01-2019 01,2107.30
14-01-2019 02,1874.59
14-01-2019 03,1727.05
14-01-2019 04,1620.00
14-01-2019 05,1699.35
14-01-2019 06,1890.25
14-01-2019 07,1994.96
14-01-2019 08,2134.15
14-01-2019 09,2401.22
14-01-2019 10,2600.98
14-01-2019 11,2770.57
14-01-2019 12,2917.74
14-01-2019 13,3046.74
14-01-2019 14,3070.00
14-01-2019 15,3110.39
14-01-2019 16,3101.01
14-01-2019 17,3122.43
14-01-2019 18,3235.00
14-01-2019 19,3071.81
14-01-2019 20,2928.64
14-01-2019 21,2837.59
14-01-2019 22,2738.50
14-01-2019 23,2591.24
14-01-2019 00,2403.24
15-01-2019 01,2152.71
15-01-2019 02,1912.64
15-01-2019 03,1755.80
15-01-2019 04,1630.00
15-01-2019 05,1690.78
15-01-2019 06,1890.97
15-01-2019 07,1982.57
15-01-2019 08,2104.49
15-01-2019 09,2286.50
15-01-2019 10,2424.50
15-01-2019 11,2530.80
15-01-2019 12,2617.96
15-01-2019 13,2660.00
15-01-2019 14,2632.76
15-01-2019 15,2654.46
15-01-2019 16,2678.37
15-01-2019 17,2767.97
15-01-2019 18,3110.00
15-01-2019 19,3036.24
15-01-2019 20,2856.31
15-01-2019 21,2797.42
15-01-2019 22,2716.53
15-01-2019 23,2583.35
15-01-2019 00,2372.71
16-01-2019 01,2118.43
16-01-2019 02,1902.63
16-01-2019 03,1742.00
16-01-2019 04,1600.00
16-01-2019 05,1663.97
16-01-2019 06,1840.49
16-01-2019 07,1944.25
16-01-2019 08,2058.91
16-01-2019 09,2315.19
16-01-2019 10,2532.35
16-01-2019 11,2609.95
16-01-2019 12,2730.48
16-01-2019 13,2795.03
16-01-2019 14,2850.00
16-01-2019 15,2924.70
16-01-2019 16,2986.32
16-01-2019 17,3041.04
16-01-2019 18,3210.00
16-01-2019 19,3012.28
16-01-2019 20,2886.32
16-01-2019 21,2795.51
16-01-2019 22,2654.22
16-01-2019 23,2514.89
16-01-2019 00,2316.59
17-01-2019 01,2088.86
17-01-2019 02,1854.84
17-01-2019 03,1701.13
17-01-2019 04,1580.00
17-01-2019 05,1637.96
17-01-2019 06,1773.56
17-01-2019 07,1749.76
17-01-2019 08,1725.31
17-01-2019 09,1880.97
17-01-2019 10,2136.59
17-01-2019 11,2442.73
17-01-2019 12,2713.99
17-01-2019 13,2854.38
17-01-2019 14,2870.00
17-01-2019 15,2866.25
17-01-2019 16,2844.21
17-01-2019 17,2886.33
17-01-2019 18,3110.00
17-01-2019 19,2954.39
17-01-2019 20,2799.00
17-01-2019 21,2709.96
17-01-2019 22,2627.03
17-01-2019 23,2517.12
17-01-2019 00,2363.95
18-01-2019 01,2134.83
18-01-2019 02,1902.50
18-01-2019 03,1730.11
18-01-2019 04,1622.74
18-01-2019 05,1570.00
18-01-2019 06,1733.97
18-01-2019 07,1684.32
18-01-2019 08,1609.90
18-01-2019 09,1728.49
18-01-2019 10,2013.63
18-01-2019 11,2403.23
18-01-2019 12,2780.00
18-01-2019 13,2717.21
18-01-2019 14,2634.16
18-01-2019 15,2568.28
18-01-2019 16,2565.78
18-01-2019 17,2580.01
18-01-2019 18,2860.00
18-01-2019 19,2773.91
18-01-2019 20,2640.00
18-01-2019 21,2592.03
18-01-2019 22,2571.61
18-01-2019 23,2486.68
18-01-2019 00,2328.42
19-01-2019 01,2112.78
19-01-2019 02,1877.66
19-01-2019 03,1720.58
19-01-2019 04,1570.00
19-01-2019 05,1624.98
19-01-2019 06,1776.49
19-01-2019 07,1774.97
19-01-2019 08,1814.64
19-01-2019 09,2000.40
19-01-2019 10,2228.04
19-01-2019 11,2423.11
19-01-2019 12,2569.09
19-01-2019 13,2700.00
19-01-2019 14,2678.04
19-01-2019 15,2648.87
19-01-2019 16,2692.89
19-01-2019 17,2786.98
19-01-2019 18,3140.00
19-01-2019 19,3059.70
19-01-2019 20,2921.02
19-01-2019 21,2848.63
19-01-2019 22,2754.47
19-01-2019 23,2630.72
19-01-2019 00,2409.65
20-01-2019 01,2171.74
20-01-2019 02,1920.61
20-01-2019 03,1759.43
20-01-2019 04,1620.00
20-01-2019 05,1685.54
20-01-2019 06,1863.12
20-01-2019 07,1919.19
20-01-2019 08,2044.13
20-01-2019 09,2276.71
20-01-2019 10,2465.81
20-01-2019 11,2626.64
20-01-2019 12,2777.09
20-01-2019 13,2870.00
20-01-2019 14,2853.69
20-01-2019 15,2875.23
20-01-2019 16,2877.63
20-01-2019 17,2916.37
20-01-2019 18,3190.00
20-01-2019 19,3069.57
20-01-2019 20,2913.13
20-01-2019 21,2827.84
20-01-2019 22,2733.69
20-01-2019 23,2595.83
20-01-2019 00,2396.78
21-01-2019 01,2129.50
21-01-2019 02,1906.14
21-01-2019 03,1744.62
21-01-2019 04,1630.00
21-01-2019 05,1681.90
21-01-2019 06,1861.76
21-01-2019 07,1907.05
21-01-2019 08,2002.93
21-01-2019 09,2204.99
21-01-2019 10,2323.28
21-01-2019 11,2441.53
21-01-2019 12,2509.88
21-01-2019 13,2570.00
21-01-2019 14,2500.91
21-01-2019 15,2521.00
21-01-2019 16,2551.29
21-01-2019 17,2646.14
21-01-2019 18,3050.00
21-01-2019 19,2940.86
21-01-2019 20,2794.37
21-01-2019 21,2742.10
21-01-2019 22,2666.65
21-01-2019 23,2537.61
21-01-2019 00,2346.02
22-01-2019 01,2113.51
22-01-2019 02,1880.17
22-01-2019 03,1725.55
22-01-2019 04,1590.00
22-01-2019 05,1644.80
22-01-2019 06,1828.87
22-01-2019 07,1880.69
22-01-2019 08,1988.54
22-01-2019 09,2140.51
22-01-2019 10,2250.83
22-01-2019 11,2368.09
22-01-2019 12,2439.05
22-01-2019 13,2480.00
22-01-2019 14,2445.67
22-01-2019 15,2464.44
22-01-2019 16,2504.44
22-01-2019 17,2597.51
22-01-2019 18,2980.00
22-01-2019 19,2933.71
22-01-2019 20,2810.50
22-01-2019 21,2725.36
22-01-2019 22,2661.71
22-01-2019 23,2532.58
22-01-2019 00,2333.71
23-01-2019 01,2112.40
23-01-2019 02,1871.35
23-01-2019 03,1720.63
23-01-2019 04,1610.00
23-01-2019 05,1660.51
23-01-2019 06,1830.36
23-01-2019 07,1876.93
23-01-2019 08,1974.50
23-01-2019 09,2152.08
23-01-2019 10,2263.10
23-01-2019 11,2358.93
23-01-2019 12,2429.78
23-01-2019 13,2480.00
23-01-2019 14,2461.19
23-01-2019 15,2501.44
23-01-2019 16,2568.17
23-01-2019 17,2645.68
23-01-2019 18,3020.00
23-01-2019 19,2964.99
23-01-2019 20,2833.48
23-01-2019 21,2751.74
23-01-2019 22,2682.51
23-01-2019 23,2538.78
23-01-2019 00,2338.69
24-01-2019 01,2065.27
24-01-2019 02,1860.25
24-01-2019 03,1714.70
24-01-2019 04,1590.00
24-01-2019 05,1630.04
24-01-2019 06,1783.68
24-01-2019 07,1823.43
24-01-2019 08,1912.23
24-01-2019 09,2087.93
24-01-2019 10,2191.10
24-01-2019 11,2298.79
24-01-2019 12,2385.05
24-01-2019 13,2407.92
24-01-2019 14,2460.00
24-01-2019 15,2445.94
24-01-2019 16,2438.76
24-01-2019 17,2517.42
24-01-2019 18,2870.00
24-01-2019 19,2808.21
24-01-2019 20,2636.81
24-01-2019 21,2557.47
24-01-2019 22,2490.76
24-01-2019 23,2406.43
24-01-2019 00,2258.88
25-01-2019 01,2061.29
25-01-2019 02,1868.54
25-01-2019 03,1688.88
25-01-2019 04,1581.78
25-01-2019 05,1575.63
25-01-2019 06,1678.81
25-01-2019 07,1613.15
25-01-2019 08,1520.00
25-01-2019 09,1596.07
25-01-2019 10,1770.70
25-01-2019 11,1994.32
25-01-2019 12,2230.00
25-01-2019 13,2152.78
25-01-2019 14,2019.77
25-01-2019 15,1971.93
25-01-2019 16,1998.80
25-01-2019 17,2101.49
25-01-2019 18,2570.00
25-01-2019 19,2530.29
25-01-2019 20,2447.70
25-01-2019 21,2406.54
25-01-2019 22,2391.89
25-01-2019 23,2308.90
25-01-2019 00,2158.53
26-01-2019 01,1963.33
26-01-2019 02,1760.58
26-01-2019 03,1612.51
26-01-2019 04,1537.79
26-01-2019 05,1500.00
26-01-2019 06,1663.29
26-01-2019 07,1663.92
26-01-2019 08,1712.00
26-01-2019 09,1887.22
26-01-2019 10,2047.21
26-01-2019 11,2178.91
26-01-2019 12,2262.76
26-01-2019 13,2310.00
26-01-2019 14,2268.05
26-01-2019 15,2292.07
26-01-2019 16,2321.14
26-01-2019 17,2371.01
26-01-2019 18,2800.00
26-01-2019 19,2740.60
26-01-2019 20,2608.77
26-01-2019 21,2560.41
26-01-2019 22,2498.50
26-01-2019 23,2376.24
26-01-2019 00,2200.16
27-01-2019 01,1964.44
27-01-2019 02,1760.70
27-01-2019 03,1619.92
27-01-2019 04,1510.00
27-01-2019 05,1563.55
27-01-2019 06,1709.02
27-01-2019 07,1767.35
27-01-2019 08,1871.38
27-01-2019 09,2036.98
27-01-2019 10,2116.54
27-01-2019 11,2195.79
27-01-2019 12,2270.91
27-01-2019 13,2314.71
27-01-2019 14,2410.00
27-01-2019 15,2482.49
27-01-2019 16,2521.71
27-01-2019 17,2551.62
27-01-2019 18,2900.00
27-01-2019 19,2801.90
27-01-2019 20,2669.69
27-01-2019 21,2590.89
27-01-2019 22,2512.92
27-01-2019 23,2375.85
27-01-2019 00,2191.05
28-01-2019 01,1979.68
28-01-2019 02,1766.71
28-01-2019 03,1637.94
28-01-2019 04,1530.00
28-01-2019 05,1585.34
28-01-2019 06,1741.47
28-01-2019 07,1785.63
28-01-2019 08,1884.28
28-01-2019 09,2094.40
28-01-2019 10,2289.69
28-01-2019 11,2503.46
28-01-2019 12,2693.67
28-01-2019 13,2819.31
28-01-2019 14,2950.00
28-01-2019 15,2938.86
28-01-2019 16,2966.40
28-01-2019 17,2947.87
28-01-2019 18,3090.00
28-01-2019 19,2960.07
28-01-2019 20,2800.79
28-01-2019 21,2759.63
28-01-2019 22,2663.73
28-01-2019 23,2506.01
28-01-2019 00,2291.87
29-01-2019 01,2040.53
29-01-2019 02,1837.87
29-01-2019 03,1691.55
29-01-2019 04,1560.00
29-01-2019 05,1644.08
29-01-2019 06,1801.51
29-01-2019 07,1840.20
29-01-2019 08,1918.45
29-01-2019 09,2101.42
29-01-2019 10,2253.70
29-01-2019 11,2383.64
29-01-2019 12,2474.20
29-01-2019 13,2550.00
29-01-2019 14,2522.71
29-01-2019 15,2533.95
29-01-2019 16,2569.79
29-01-2019 17,2586.14
29-01-2019 18,2980.00
29-01-2019 19,2899.88
29-01-2019 20,2745.51
29-01-2019 21,2720.10
29-01-2019 22,2653.10
29-01-2019 23,2519.19
29-01-2019 00,2313.43
30-01-2019 01,2085.35
30-01-2019 02,1888.18
30-01-2019 03,1732.91
30-01-2019 04,1610.00
30-01-2019 05,1672.25
30-01-2019 06,1856.31
30-01-2019 07,1897.57
30-01-2019 08,1978.10
30-01-2019 09,2152.18
30-01-2019 10,2263.25
30-01-2019 11,2350.53
30-01-2019 12,2415.29
30-01-2019 13,2530.00
30-01-2019 14,2400.16
30-01-2019 15,2428.40
30-01-2019 16,2458.79
30-01-2019 17,2528.59
30-01-2019 18,2930.00
30-01-2019 19,2875.40
30-01-2019 20,2735.18
30-01-2019 21,2692.93
30-01-2019 22,2624.25
30-01-2019 23,2501.95
30-01-2019 00,2291.41
31-01-2019 01,2040.83
31-01-2019 02,1863.60
31-01-2019 03,1721.07
31-01-2019 04,1650.64
31-01-2019 05,1590.00
31-01-2019 06,1812.45
31-01-2019 07,1843.24
31-01-2019 08,1938.25
31-01-2019 09,2095.26
31-01-2019 10,2210.49
31-01-2019 11,2312.01
31-01-2019 12,2455.00
31-01-2019 13,2406.97
31-01-2019 14,2357.68
31-01-2019 15,2390.39
31-01-2019 16,2483.88
31-01-2019 17,2509.05
31-01-2019 18,2870.00
31-01-2019 19,2821.50
31-01-2019 20,2693.09
31-01-2019 21,2599.08
31-01-2019 22,2527.20
31-01-2019 23,2441.79
31-01-2019 00,2286.36
01-02-2019 01,2084.98
01-02-2019 02,1868.90
01-02-2019 03,1692.56
01-02-2019 04,1594.36
01-02-2019 05,1586.29
01-02-2019 06,1690.61
01-02-2019 07,1621.44
01-02-2019 08,1490.00
01-02-2019 09,1599.89
01-02-2019 10,1787.17
01-02-2019 11,2025.80
01-02-2019 12,2210.92
01-02-2019 13,2290.00
01-02-2019 14,2165.62
01-02-2019 15,2145.95
01-02-2019 16,2199.42
01-02-2019 17,2248.64
01-02-2019 18,2610.00
01-02-2019 19,2574.58
01-02-2019 20,2477.47
01-02-2019 21,2438.43
01-02-2019 22,2422.85
01-02-2019 23,2349.18
01-02-2019 00,2202.32
02-02-2019 01,1996.00
02-02-2019 02,1791.56
02-02-2019 03,1646.23
02-02-2019 04,1510.00
02-02-2019 05,1567.99
02-02-2019 06,1680.59
02-02-2019 07,1668.98
02-02-2019 08,1714.11
02-02-2019 09,1867.53
02-02-2019 10,2020.03
02-02-2019 11,2162.47
02-02-2019 12,2257.72
02-02-2019 13,2315.00
02-02-2019 14,2294.35
02-02-2019 15,2307.76
02-02-2019 16,2371.31
02-02-2019 17,2454.40
02-02-2019 18,2910.00
02-02-2019 19,2859.94
02-02-2019 20,2740.41
02-02-2019 21,2670.76
02-02-2019 22,2615.03
02-02-2019 23,2497.28
02-02-2019 00,2290.31
03-02-2019 01,2052.14
03-02-2019 02,1842.35
03-02-2019 03,1689.70
03-02-2019 04,1570.00
03-02-2019 05,1646.98
03-02-2019 06,1817.55
03-02-2019 07,1861.31
03-02-2019 08,1960.01
03-02-2019 09,2095.59
03-02-2019 10,2207.01
03-02-2019 11,2299.05
03-02-2019 12,2400.00
03-02-2019 13,2379.76
03-02-2019 14,2357.98
03-02-2019 15,2366.28
03-02-2019 16,2420.16
03-02-2019 17,2485.74
03-02-2019 18,2940.00
03-02-2019 19,2880.70
03-02-2019 20,2739.89
03-02-2019 21,2657.86
03-02-2019 22,2607.29
03-02-2019 23,2493.92
03-02-2019 00,2276.83
04-02-2019 01,2033.41
04-02-2019 02,1825.93
04-02-2019 03,1685.24
04-02-2019 04,1570.00
04-02-2019 05,1650.81
04-02-2019 06,1817.22
04-02-2019 07,1820.11
04-02-2019 08,1934.37
04-02-2019 09,2064.71
04-02-2019 10,2185.14
04-02-2019 11,2279.81
04-02-2019 12,2369.22
04-02-2019 13,2420.00
04-02-2019 14,2375.32
04-02-2019 15,2409.41
04-02-2019 16,2465.90
04-02-2019 17,2495.88
04-02-2019 18,2880.00
04-02-2019 19,2831.44
04-02-2019 20,2707.41
04-02-2019 21,2631.82
04-02-2019 22,2588.56
04-02-2019 23,2454.67
04-02-2019 00,2242.81
05-02-2019 01,2016.03
05-02-2019 02,1814.26
05-02-2019 03,1674.80
05-02-2019 04,1560.00
05-02-2019 05,1622.65
05-02-2019 06,1769.81
05-02-2019 07,1811.90
05-02-2019 08,1915.24
05-02-2019 09,2073.58
05-02-2019 10,2161.20
05-02-2019 11,2260.20
05-02-2019 12,2341.70
05-02-2019 13,2373.80
05-02-2019 14,2420.00
05-02-2019 15,2419.28
05-02-2019 16,2479.46
05-02-2019 17,2537.90
05-02-2019 18,2875.00
05-02-2019 19,2806.45
05-02-2019 20,2665.53
05-02-2019 21,2587.04
05-02-2019 22,2506.82
05-02-2019 23,2383.59
05-02-2019 00,2224.28
06-02-2019 01,1994.68
06-02-2019 02,1799.35
06-02-2019 03,1673.17
06-02-2019 04,1560.00
06-02-2019 05,1608.55
06-02-2019 06,1761.93
06-02-2019 07,1825.50
06-02-2019 08,1952.36
06-02-2019 09,2185.97
06-02-2019 10,2399.09
06-02-2019 11,2540.89
06-02-2019 12,2721.56
06-02-2019 13,2820.00
06-02-2019 14,2739.46
06-02-2019 15,2723.00
06-02-2019 16,2791.58
06-02-2019 17,2845.15
06-02-2019 18,2970.00
06-02-2019 19,2864.10
06-02-2019 20,2719.12
06-02-2019 21,2627.81
06-02-2019 22,2571.18
06-02-2019 23,2439.36
06-02-2019 00,2272.54
07-02-2019 01,2045.18
07-02-2019 02,1846.26
07-02-2019 03,1693.32
07-02-2019 04,1560.00
07-02-2019 05,1648.89
07-02-2019 06,1783.84
07-02-2019 07,1796.04
07-02-2019 08,1950.41
07-02-2019 09,2156.27
07-02-2019 10,2354.80
07-02-2019 11,2540.56
07-02-2019 12,2697.91
07-02-2019 13,2860.00
07-02-2019 14,2777.10
07-02-2019 15,2733.40
07-02-2019 16,2662.88
07-02-2019 17,2644.37
07-02-2019 18,2890.00
07-02-2019 19,2788.72
07-02-2019 20,2641.94
07-02-2019 21,2547.38
07-02-2019 22,2493.49
07-02-2019 23,2394.87
07-02-2019 00,2245.29
08-02-2019 01,2056.32
08-02-2019 02,1858.21
08-02-2019 03,1690.36
08-02-2019 04,1586.96
08-02-2019 05,1578.78
08-02-2019 06,1681.84
08-02-2019 07,1586.56
08-02-2019 08,1480.00
08-02-2019 09,1604.04
08-02-2019 10,1822.34
08-02-2019 11,2083.80
08-02-2019 12,2510.00
08-02-2019 13,2435.07
08-02-2019 14,2315.38
08-02-2019 15,2269.21
08-02-2019 16,2262.00
08-02-2019 17,2293.02
08-02-2019 18,2635.00
08-02-2019 19,2593.14
08-02-2019 20,2468.16
08-02-2019 21,2414.00
08-02-2019 22,2410.10
08-02-2019 23,2333.31
08-02-2019 00,2205.56
09-02-2019 01,2003.45
09-02-2019 02,1820.35
09-02-2019 03,1652.35
09-02-2019 04,1573.84
09-02-2019 05,1500.00
09-02-2019 06,1694.26
09-02-2019 07,1679.37
09-02-2019 08,1739.39
09-02-2019 09,1930.87
09-02-2019 10,2174.59
09-02-2019 11,2410.87
09-02-2019 12,2610.10
09-02-2019 13,2705.00
09-02-2019 14,2639.08
09-02-2019 15,2639.53
09-02-2019 16,2775.81
09-02-2019 17,2790.04
09-02-2019 18,3010.00
09-02-2019 19,2958.04
09-02-2019 20,2826.88
09-02-2019 21,2762.20
09-02-2019 22,2690.16
09-02-2019 23,2525.61
09-02-2019 00,2311.96
10-02-2019 01,2031.63
10-02-2019 02,1809.64
10-02-2019 03,1669.67
10-02-2019 04,1550.00
10-02-2019 05,1633.93
10-02-2019 06,1844.78
10-02-2019 07,2058.13
10-02-2019 08,2195.27
10-02-2019 09,2263.60
10-02-2019 10,2351.61
10-02-2019 11,2423.83
10-02-2019 12,2504.64
10-02-2019 13,2593.60
10-02-2019 14,2630.00
10-02-2019 15,2723.88
10-02-2019 16,2872.90
10-02-2019 17,2867.14
10-02-2019 18,3090.00
10-02-2019 19,3021.32
10-02-2019 20,2868.41
10-02-2019 21,2761.51
10-02-2019 22,2688.58
10-02-2019 23,2513.67
10-02-2019 00,2281.39
11-02-2019 01,2022.99
11-02-2019 02,1817.34
11-02-2019 03,1685.37
11-02-2019 04,1565.00
11-02-2019 05,1651.41
11-02-2019 06,1850.99
11-02-2019 07,2061.65
11-02-2019 08,2172.36
11-02-2019 09,2259.22
11-02-2019 10,2391.25
11-02-2019 11,2449.27
11-02-2019 12,2503.02
11-02-2019 13,2556.18
11-02-2019 14,2590.00
11-02-2019 15,2620.58
